20230210	03:02:04	82c19497-19a6-482a-8510-c70d40cc7d15	/	GET
20230210	03:02:04	755ad222-87f3-4b85-be9e-434898da3325	/css/style.css	GET
20230210	03:02:04	e15a2ae7-8632-4c4f-8829-31d80332c1f9	/favicon.ico	GET
20230210	03:02:48	a3b49780-5ccd-4323-9ffb-10d01fbffdb5	/	GET
20230310	03:03:59	2f02e46a-ee41-4fc2-a705-f726038b7414	/	GET
20230310	03:03:59	6fd511b4-0ee2-4e02-9150-24c1f91a2cdb	/css/style.css	GET
20230410	03:04:11	5f8de54a-e054-4ef7-a71b-ab2a86d61b67	/new-page.html	GET
20230410	03:04:11	7f01b562-e9a2-42ac-b986-60458d98bc62	/img/top-gun-maverick.jpg	GET
20230410	03:04:11	01c9bcb8-c00a-442d-a9c3-0f94a3862b28	/css/style.css	GET
20230815	00:06:23	3fa9afe6-1505-4753-a0dc-866415fe88f6	GET	undefined	/index.html
20230815	00:06:23	49d68b79-2b68-469f-9e90-6e3540f9cad4	GET	undefined	/css/style.css
20230815	09:48:13	4ae1b8b4-152b-4769-ad2a-851b219d3795	GET	undefined	/css/style.css
20230817	00:26:46	827ae59e-11df-491e-945d-2f44799b1ab1	GET	undefined	/
20230817	00:26:46	7d63f85e-c4fd-4f49-a1a1-53b06b5ad201	GET	undefined	/favicon.ico
20230817	00:27:42	a7ecfc7a-e72a-423a-8981-fac5da12dfaf	GET	undefined	/
20230817	00:27:42	0c0a9ba1-be5e-48d5-a5ff-1cc6088141d6	GET	undefined	/css/style.css
20230817	00:27:42	0c153740-117d-483c-bd30-b585360de2a0	GET	undefined	/favicon.ico
20230817	00:33:42	34538396-0d22-44fd-a6b8-3c12d6101fa9	GET	undefined	/
20230817	00:34:33	cc194e1b-c703-426f-b3b9-114e55a27787	GET	undefined	/
20230817	00:34:33	530068e4-aaa9-404b-aecc-07d3b1594fd9	GET	undefined	/css/style.css
20230817	00:35:58	dc6c5a5a-eacf-4442-9300-1a3ae38c3931	GET	undefined	/
20230817	00:35:58	08826dfe-db72-4658-a7f6-406f793b3686	GET	undefined	/css/style.css
20230817	00:36:05	3722f9d2-1508-49b5-873d-cdf601fbceb4	GET	undefined	/dave
20230817	00:36:05	6e0a8437-65d1-48b1-a71a-197605340853	GET	undefined	/css/style.css
20230817	23:13:17	be178dc3-3e82-4c67-b54f-20984add2714	GET	undefined	/
20230817	23:13:17	062664c6-f6d4-46d2-b422-45d3e3a8e6bc	GET	undefined	/css/style.css
20230817	23:13:17	df4c9c11-de7b-46af-a405-e2edf08fa498	GET	undefined	/favicon.ico
20230817	23:13:26	f71dede4-81bf-4b0c-a9e1-2b8a4945f3a6	GET	undefined	/subdir
20230817	23:13:26	0a361edc-43e7-49d4-8f48-06e466f03fb6	GET	undefined	/css/style.css
20230817	23:13:38	c1e20e8e-45d5-445a-b364-dae58f3e8eda	GET	undefined	/subdir/test
20230817	23:15:08	e8a2e3ff-a3f8-40ab-a656-b0d1d3f24a49	GET	undefined	/subdir/test
20230817	23:15:08	60cba2ad-cedd-4704-b686-67851a4245c9	GET	undefined	/css/style.css
20230817	23:15:19	0751b1b1-d677-4adc-9367-0b6fdbf59cd5	GET	undefined	/subdir
20230817	23:15:19	9f7ce4ca-5fca-4d5b-9530-30743f42c48f	GET	undefined	/css/style.css
20230817	23:18:26	77f972c9-d7c9-41c6-a069-1f01ffd38e2f	GET	undefined	/subdir
20230817	23:18:26	6b160276-af4e-4ca4-a149-a6836dd539c4	GET	undefined	/css/style.css
20230817	23:18:36	254aaf89-487a-4c01-ab49-97af209851cf	GET	undefined	/subdir/
20230817	23:18:36	37d7734c-0cfe-4802-8161-7e4376e1893e	GET	undefined	/css/style.css
20230817	23:18:44	65a227dc-80d4-45a9-99aa-ca0c40b73685	GET	undefined	/subdir/index.html
20230817	23:18:44	b451ffa7-654f-494a-9b85-b62936c0d7a0	GET	undefined	/css/style.css
20230817	23:22:48	27829e67-4734-469a-84db-3d66b5a4dc49	GET	undefined	/subdir/index.html
20230817	23:22:48	a5b23022-4942-4d97-8127-3011c9a29b77	GET	undefined	/css/style.css
20230817	23:23:57	8bfe6393-dd0f-4523-9eaa-140ed1049313	GET	undefined	/subdir/dave
20230817	23:24:51	f0583de6-7400-4fd7-a7bb-c6413027d9d8	GET	undefined	/subdir/dave.html
20230817	23:25:26	3db44bb5-b494-4495-8446-52889d8e3a00	GET	undefined	/subdir/dave
20230817	23:25:43	07941707-e153-47a2-9b67-9a08f12f0dfe	GET	undefined	/subdir/dave
20230817	23:25:44	0d14ba6a-7a6a-4d01-9a8c-a7af8e408d38	GET	undefined	/subdir/css/style.css
20230817	23:27:55	ed1d88c5-2240-46a6-9609-288981205f6e	GET	undefined	/subdir/dave
